"","HDI Rank","Country","1980","X__1","1985","X__2","1990","X__3","1995","X__4","2000","X__5","2005","X__6","2006","X__7","2007","X__8","2008","X__9","2009","X__10","2010","X__11","2011"
"1","..","Very high human development","0.766",NA,"0.786",NA,"0.810",NA,"0.834",NA,"0.858",NA,"0.876",NA,"0.879",NA,"0.882",NA,"0.885",NA,"0.885",NA,"0.888",NA,"0.889"
"2","..","High human development","0.614",NA,"0.630",NA,"0.648",NA,"0.662",NA,"0.687",NA,"0.716",NA,"0.721",NA,"0.728",NA,"0.733",NA,"0.734",NA,"0.739",NA,"0.741"
"3","..","Medium human development","0.420",NA,"0.450",NA,"0.480",NA,"0.517",NA,"0.548",NA,"0.587",NA,"0.595",NA,"0.605",NA,"0.612",NA,"0.618",NA,"0.625",NA,"0.630"
"4","..","Low human development","0.316",NA,"0.334",NA,"0.347",NA,"0.363",NA,"0.383",NA,"0.422",NA,"0.430",NA,"0.437",NA,"0.443",NA,"0.448",NA,"0.453",NA,"0.456"
"5","1","Norway","0.796",NA,"0.819",NA,"0.844",NA,"0.876",NA,"0.913",NA,"0.938",NA,"0.940",NA,"0.942",NA,"0.941",NA,"0.941",NA,"0.941",NA,"0.943"
"6","2","Australia","0.850",NA,"0.859",NA,"0.873",NA,"0.889",NA,"0.906",NA,"0.918",NA,"0.920",NA,"0.922",NA,"0.924",NA,"0.926",NA,"0.927",NA,"0.929"
"7","3","Netherlands","0.792",NA,"0.806",NA,"0.835",NA,"0.866",NA,"0.882",NA,"0.890",NA,"0.897",NA,"0.902",NA,"0.904",NA,"0.905",NA,"0.909",NA,"0.910"
"8","4","United States","0.837",NA,"0.853",NA,"0.870",NA,"0.883",NA,"0.897",NA,"0.902",NA,"0.904",NA,"0.905",NA,"0.907",NA,"0.906",NA,"0.908",NA,"0.910"
"9","5","New Zealand","0.800",NA,"0.812",NA,"0.828",NA,"0.861",NA,"0.878",NA,"0.899",NA,"0.901",NA,"0.903",NA,"0.904",NA,"0.906",NA,"0.908",NA,"0.908"
